Country,year,metric,amount
Algeria,1992,USD Constant,1105263849
Algeria,1992,USD Current,1053301643
Algeria,1992,GDP Percent,2.14
Algeria,1992,Government Percent,7.45
Algeria,1992,Military Capita Spending,39
Algeria,1993,USD Constant,1188414553
Algeria,1993,USD Current,1276911083
Algeria,1993,GDP Percent,2.51
Algeria,1993,Government Percent,7.63
Algeria,1993,Military Capita Spending,46
Algeria,1994,USD Constant,1445778544
Algeria,1994,USD Current,1334911648
Algeria,1994,GDP Percent,3.15
Algeria,1994,Government Percent,10.13
Algeria,1994,Military Capita Spending,47
Algeria,1995,USD Constant,1400792305
Algeria,1995,USD Current,1234655192
Algeria,1995,GDP Percent,2.94
Algeria,1995,Government Percent,9.99
Algeria,1995,Military Capita Spending,43
Algeria,1996,USD Constant,1594946699
Algeria,1996,USD Current,1452431008
Algeria,1996,GDP Percent,3.09
Algeria,1996,Government Percent,10.97
Algeria,1996,Military Capita Spending,50
Algeria,1997,USD Constant,1918339155
Algeria,1997,USD Current,1752395278
Algeria,1997,GDP Percent,3.64
Algeria,1997,Government Percent,11.96
Algeria,1997,Military Capita Spending,59
Algeria,1998,USD Constant,2028887946
Algeria,1998,USD Current,1910962052
Algeria,1998,GDP Percent,3.97
Algeria,1998,Government Percent,12.82
Algeria,1998,Military Capita Spending,63
Algeria,1999,USD Constant,2141225215
Algeria,1999,USD Current,1826496570
Algeria,1999,GDP Percent,3.76
Algeria,1999,Government Percent,11.76
Algeria,1999,Military Capita Spending,60
Algeria,2000,USD Constant,2484612420
Algeria,2000,USD Current,1881163649
Algeria,2000,GDP Percent,3.43
Algeria,2000,Government Percent,12.02
Algeria,2000,Military Capita Spending,61
Algeria,2001,USD Constant,2719436760
Algeria,2001,USD Current,2091627274
Algeria,2001,GDP Percent,3.82
Algeria,2001,Government Percent,12.23
Algeria,2001,Military Capita Spending,67
Algeria,2002,USD Constant,2778946722
Algeria,2002,USD Current,2100602521
Algeria,2002,GDP Percent,3.7
Algeria,2002,Government Percent,10.79
Algeria,2002,Military Capita Spending,66
Algeria,2003,USD Constant,2719054794
Algeria,2003,USD Current,2206395762
Algeria,2003,GDP Percent,3.25
Algeria,2003,Government Percent,10.1
Algeria,2003,Military Capita Spending,68
Algeria,2004,USD Constant,3092777620
Algeria,2004,USD Current,2802224794
Algeria,2004,GDP Percent,3.28
Algeria,2004,Government Percent,10.67
Algeria,2004,Military Capita Spending,86
Algeria,2005,USD Constant,3237783324
Algeria,2005,USD Current,2924820167
Algeria,2005,GDP Percent,2.83
Algeria,2005,Government Percent,10.46
Algeria,2005,Military Capita Spending,88
Algeria,2006,USD Constant,3318892471
Algeria,2006,USD Current,3093978245
Algeria,2006,GDP Percent,2.64
Algeria,2006,Government Percent,9.16
Algeria,2006,Military Capita Spending,92
Algeria,2007,USD Constant,3893966294
Algeria,2007,USD Current,3945815125
Algeria,2007,GDP Percent,2.92
Algeria,2007,Government Percent,8.8
Algeria,2007,Military Capita Spending,115
Algeria,2008,USD Constant,4537007636
Algeria,2008,USD Current,5172336907
Algeria,2008,GDP Percent,3.02
Algeria,2008,Government Percent,7.97
Algeria,2008,Military Capita Spending,149
Algeria,2009,USD Constant,4927662734
Algeria,2009,USD Current,5280588156
Algeria,2009,GDP Percent,3.85
Algeria,2009,Government Percent,9.03
Algeria,2009,Military Capita Spending,149
Algeria,2010,USD Constant,5214964356
Algeria,2010,USD Current,5671309117
Algeria,2010,GDP Percent,3.52
Algeria,2010,Government Percent,9.44
Algeria,2010,Military Capita Spending,158
Algeria,2011,USD Constant,7463483608
Algeria,2011,USD Current,8652237040
Algeria,2011,GDP Percent,4.33
Algeria,2011,Government Percent,10.78
Algeria,2011,Military Capita Spending,236
Algeria,2012,USD Constant,7853772371
Algeria,2012,USD Current,9326287144
Algeria,2012,GDP Percent,4.46
Algeria,2012,Government Percent,10.25
Algeria,2012,Military Capita Spending,249
Algeria,2013,USD Constant,8483351502
Algeria,2013,USD Current,10161588239
Algeria,2013,GDP Percent,4.84
Algeria,2013,Government Percent,13.39
Algeria,2013,Military Capita Spending,266
Algeria,2014,USD Constant,9770025747
Algeria,2014,USD Current,9724379972
Algeria,2014,GDP Percent,5.55
Algeria,2014,Government Percent,13.66
Algeria,2014,Military Capita Spending,250
Algeria,2015,USD Constant,10221278557
Algeria,2015,USD Current,10412714003
Algeria,2015,GDP Percent,6.27
Algeria,2015,Government Percent,13.69
Algeria,2015,Military Capita Spending,262
Algeria,2016,USD Constant,10251786415
Algeria,2016,USD Current,10217081700
Algeria,2016,GDP Percent,6.38
Algeria,2016,Government Percent,15.32
Algeria,2016,Military Capita Spending,252
Algeria,2017,USD Constant,9708947885
Algeria,2017,USD Current,10073364021
Algeria,2017,GDP Percent,5.92
Algeria,2017,Government Percent,15.36
Algeria,2017,Military Capita Spending,243
Algeria,2018,USD Constant,9311353982
Algeria,2018,USD Current,9583724288
Algeria,2018,GDP Percent,5.47
Algeria,2018,Government Percent,14.46
Algeria,2018,Military Capita Spending,227
Algeria,2019,USD Constant,10045372051
Algeria,2019,USD Current,10303600575
Algeria,2019,GDP Percent,6.02
Algeria,2019,Government Percent,15.89
Algeria,2019,Military Capita Spending,239
Algeria,2020,USD Constant,9708277440
Algeria,2020,USD Current,9708277440
Algeria,2020,GDP Percent,6.66
Algeria,2020,Government Percent,17.39
Algeria,2020,Military Capita Spending,221
Algeria,2021,USD Constant,9115809225
Algeria,2021,USD Current,9112461105
Algeria,2021,GDP Percent,5.59
Algeria,2021,Government Percent,15.24
Algeria,2021,Military Capita Spending,204
Libya,1949,USD Constant,NA
Libya,1949,USD Current,NA
Libya,1949,GDP Percent,NA
Libya,1949,Government Percent,NA
Libya,1949,Military Capita Spending,NA
Libya,1950,USD Constant,NA
Libya,1950,USD Current,NA
Libya,1950,GDP Percent,NA
Libya,1950,Government Percent,NA
Libya,1950,Military Capita Spending,NA
Libya,1951,USD Constant,NA
Libya,1951,USD Current,NA
Libya,1951,GDP Percent,NA
Libya,1951,Government Percent,NA
Libya,1951,Military Capita Spending,NA
Libya,1952,USD Constant,NA
Libya,1952,USD Current,NA
Libya,1952,GDP Percent,NA
Libya,1952,Government Percent,NA
Libya,1952,Military Capita Spending,NA
Libya,1953,USD Constant,NA
Libya,1953,USD Current,NA
Libya,1953,GDP Percent,NA
Libya,1953,Government Percent,NA
Libya,1953,Military Capita Spending,NA
Libya,1954,USD Constant,NA
Libya,1954,USD Current,NA
Libya,1954,GDP Percent,NA
Libya,1954,Government Percent,NA
Libya,1954,Military Capita Spending,NA
Libya,1955,USD Constant,NA
Libya,1955,USD Current,NA
Libya,1955,GDP Percent,NA
Libya,1955,Government Percent,NA
Libya,1955,Military Capita Spending,NA
Libya,1956,USD Constant,NA
Libya,1956,USD Current,NA
Libya,1956,GDP Percent,NA
Libya,1956,Government Percent,NA
Libya,1956,Military Capita Spending,NA
Libya,1957,USD Constant,NA
Libya,1957,USD Current,NA
Libya,1957,GDP Percent,NA
Libya,1957,Government Percent,NA
Libya,1957,Military Capita Spending,NA
Libya,1958,USD Constant,NA
Libya,1958,USD Current,NA
Libya,1958,GDP Percent,NA
Libya,1958,Government Percent,NA
Libya,1958,Military Capita Spending,NA
Libya,1959,USD Constant,NA
Libya,1959,USD Current,5571998
Libya,1959,GDP Percent,NA
Libya,1959,Government Percent,NA
Libya,1959,Military Capita Spending,NA
Libya,1960,USD Constant,NA
Libya,1960,USD Current,5571998
Libya,1960,GDP Percent,1.59
Libya,1960,Government Percent,NA
Libya,1960,Military Capita Spending,NA
Libya,1961,USD Constant,NA
Libya,1961,USD Current,7167997
Libya,1961,GDP Percent,1.86
Libya,1961,Government Percent,NA
Libya,1961,Military Capita Spending,NA
Libya,1962,USD Constant,NA
Libya,1962,USD Current,16687993
Libya,1962,GDP Percent,3.1
Libya,1962,Government Percent,NA
Libya,1962,Military Capita Spending,NA
Libya,1963,USD Constant,NA
Libya,1963,USD Current,18675993
Libya,1963,GDP Percent,2.41
Libya,1963,Government Percent,NA
Libya,1963,Military Capita Spending,NA
Libya,1964,USD Constant,51391033
Libya,1964,USD Current,21475991
Libya,1964,GDP Percent,1.84
Libya,1964,Government Percent,NA
Libya,1964,Military Capita Spending,NA
Libya,1965,USD Constant,62538050
Libya,1965,USD Current,29119988
Libya,1965,GDP Percent,1.86
Libya,1965,Government Percent,NA
Libya,1965,Military Capita Spending,NA
Libya,1966,USD Constant,111969087
Libya,1966,USD Current,58519977
Libya,1966,GDP Percent,2.91
Libya,1966,Government Percent,NA
Libya,1966,Military Capita Spending,NA
Libya,1967,USD Constant,141803045
Libya,1967,USD Current,79519968
Libya,1967,GDP Percent,3.36
Libya,1967,Government Percent,NA
Libya,1967,Military Capita Spending,NA
Libya,1968,USD Constant,169599910
Libya,1968,USD Current,95479962
Libya,1968,GDP Percent,2.86
Libya,1968,Government Percent,NA
Libya,1968,Military Capita Spending,NA
Libya,1969,USD Constant,231497021
Libya,1969,USD Current,143079943
Libya,1969,GDP Percent,3.76
Libya,1969,Government Percent,NA
Libya,1969,Military Capita Spending,NA
Libya,1970,USD Constant,414264432
Libya,1970,USD Current,242479903
Libya,1970,GDP Percent,6.07
Libya,1970,Government Percent,NA
Libya,1970,Military Capita Spending,NA
Libya,1971,USD Constant,427532992
Libya,1971,USD Current,243035872
Libya,1971,GDP Percent,5.32
Libya,1971,Government Percent,NA
Libya,1971,Military Capita Spending,NA
Libya,1972,USD Constant,330118005
Libya,1972,USD Current,202768227
Libya,1972,GDP Percent,3.71
Libya,1972,Government Percent,NA
Libya,1972,Military Capita Spending,NA
Libya,1973,USD Constant,410260421
Libya,1973,USD Current,298307480
Libya,1973,GDP Percent,3.98
Libya,1973,Government Percent,NA
Libya,1973,Military Capita Spending,NA
Libya,1974,USD Constant,545163488
Libya,1974,USD Current,431682379
Libya,1974,GDP Percent,3.29
Libya,1974,Government Percent,NA
Libya,1974,Military Capita Spending,NA
Libya,1975,USD Constant,333070099
Libya,1975,USD Current,287788253
Libya,1975,GDP Percent,2.25
Libya,1975,Government Percent,NA
Libya,1975,Military Capita Spending,NA
Libya,1976,USD Constant,358019287
Libya,1976,USD Current,326295132
Libya,1976,GDP Percent,1.97
Libya,1976,Government Percent,NA
Libya,1976,Military Capita Spending,NA
Libya,1977,USD Constant,495182151
Libya,1977,USD Current,479647088
Libya,1977,GDP Percent,2.46
Libya,1977,Government Percent,NA
Libya,1977,Military Capita Spending,NA
Libya,1978,USD Constant,582457325
Libya,1978,USD Current,729941801
Libya,1978,GDP Percent,3.8
Libya,1978,Government Percent,NA
Libya,1978,Military Capita Spending,NA
Libya,1979,USD Constant,724882770
Libya,1979,USD Current,853569149
Libya,1979,GDP Percent,3.22
Libya,1979,Government Percent,NA
Libya,1979,Military Capita Spending,NA
Libya,1980,USD Constant,831279305
Libya,1980,USD Current,1074139253
Libya,1980,GDP Percent,2.92
Libya,1980,Government Percent,NA
Libya,1980,Military Capita Spending,NA
Libya,1981,USD Constant,387882637
Libya,1981,USD Current,557334522
Libya,1981,GDP Percent,1.76
Libya,1981,Government Percent,NA
Libya,1981,Military Capita Spending,NA
Libya,1982,USD Constant,447736540
Libya,1982,USD Current,709332451
Libya,1982,GDP Percent,2.24
Libya,1982,Government Percent,NA
Libya,1982,Military Capita Spending,NA
Libya,1983,USD Constant,NA
Libya,1983,USD Current,NA
Libya,1983,GDP Percent,NA
Libya,1983,Government Percent,NA
Libya,1983,Military Capita Spending,NA
Libya,1984,USD Constant,NA
Libya,1984,USD Current,NA
Libya,1984,GDP Percent,NA
Libya,1984,Government Percent,NA
Libya,1984,Military Capita Spending,NA
Libya,1985,USD Constant,NA
Libya,1985,USD Current,NA
Libya,1985,GDP Percent,NA
Libya,1985,Government Percent,NA
Libya,1985,Military Capita Spending,NA
Libya,1986,USD Constant,NA
Libya,1986,USD Current,NA
Libya,1986,GDP Percent,NA
Libya,1986,Government Percent,NA
Libya,1986,Military Capita Spending,NA
Libya,1987,USD Constant,NA
Libya,1987,USD Current,NA
Libya,1987,GDP Percent,NA
Libya,1987,Government Percent,NA
Libya,1987,Military Capita Spending,NA
Libya,1988,USD Constant,NA
Libya,1988,USD Current,NA
Libya,1988,GDP Percent,NA
Libya,1988,Government Percent,NA
Libya,1988,Military Capita Spending,NA
Libya,1989,USD Constant,NA
Libya,1989,USD Current,NA
Libya,1989,GDP Percent,NA
Libya,1989,Government Percent,NA
Libya,1989,Military Capita Spending,NA
Libya,1990,USD Constant,NA
Libya,1990,USD Current,NA
Libya,1990,GDP Percent,NA
Libya,1990,Government Percent,NA
Libya,1990,Military Capita Spending,NA
Libya,1991,USD Constant,NA
Libya,1991,USD Current,NA
Libya,1991,GDP Percent,NA
Libya,1991,Government Percent,NA
Libya,1991,Military Capita Spending,NA
Libya,1992,USD Constant,NA
Libya,1992,USD Current,NA
Libya,1992,GDP Percent,NA
Libya,1992,Government Percent,NA
Libya,1992,Military Capita Spending,NA
Libya,1993,USD Constant,NA
Libya,1993,USD Current,NA
Libya,1993,GDP Percent,NA
Libya,1993,Government Percent,NA
Libya,1993,Military Capita Spending,NA
Libya,1994,USD Constant,NA
Libya,1994,USD Current,NA
Libya,1994,GDP Percent,NA
Libya,1994,Government Percent,NA
Libya,1994,Military Capita Spending,NA
Libya,1995,USD Constant,NA
Libya,1995,USD Current,NA
Libya,1995,GDP Percent,NA
Libya,1995,Government Percent,NA
Libya,1995,Military Capita Spending,NA
Libya,1996,USD Constant,NA
Libya,1996,USD Current,NA
Libya,1996,GDP Percent,NA
Libya,1996,Government Percent,NA
Libya,1996,Military Capita Spending,NA
Libya,1997,USD Constant,436091775
Libya,1997,USD Current,1251990817
Libya,1997,GDP Percent,4.08
Libya,1997,Government Percent,11.69
Libya,1997,Military Capita Spending,245
Libya,1998,USD Constant,491912960
Libya,1998,USD Current,1443621758
Libya,1998,GDP Percent,5.3
Libya,1998,Government Percent,14.21
Libya,1998,Military Capita Spending,278
Libya,1999,USD Constant,379826401
Libya,1999,USD Current,1153487088
Libya,1999,GDP Percent,3.78
Libya,1999,Government Percent,11.53
Libya,1999,Military Capita Spending,219
Libya,2000,USD Constant,406524691
Libya,2000,USD Current,1085534665
Libya,2000,GDP Percent,3.15
Libya,2000,Government Percent,10.27
Libya,2000,Military Capita Spending,203
Libya,2001,USD Constant,397708937
Libya,2001,USD Current,819747994
Libya,2001,GDP Percent,2.41
Libya,2001,Government Percent,6.3
Libya,2001,Military Capita Spending,151
Libya,2002,USD Constant,511132684
Libya,2002,USD Current,452513615
Libya,2002,GDP Percent,2.07
Libya,2002,Government Percent,5.24
Libya,2002,Military Capita Spending,82
Libya,2003,USD Constant,636188337
Libya,2003,USD Current,541401767
Libya,2003,GDP Percent,2.07
Libya,2003,Government Percent,4.84
Libya,2003,Military Capita Spending,96
Libya,2004,USD Constant,830759903
Libya,2004,USD Current,685073220
Libya,2004,GDP Percent,2.07
Libya,2004,Government Percent,4.9
Libya,2004,Military Capita Spending,120
Libya,2005,USD Constant,818364184
Libya,2005,USD Current,690930769
Libya,2005,GDP Percent,1.53
Libya,2005,Government Percent,5.02
Libya,2005,Military Capita Spending,119
Libya,2006,USD Constant,720045583
Libya,2006,USD Current,614356296
Libya,2006,GDP Percent,1.12
Libya,2006,Government Percent,3.59
Libya,2006,Military Capita Spending,104
Libya,2007,USD Constant,677683660
Libya,2007,USD Current,639137046
Libya,2007,GDP Percent,0.95
Libya,2007,Government Percent,2.81
Libya,2007,Military Capita Spending,107
Libya,2008,USD Constant,1024198131
Libya,2008,USD Current,1100068652
Libya,2008,GDP Percent,1.49
Libya,2008,Government Percent,3.09
Libya,2008,Military Capita Spending,182
Libya,2009,USD Constant,NA
Libya,2009,USD Current,NA
Libya,2009,GDP Percent,NA
Libya,2009,Government Percent,NA
Libya,2009,Military Capita Spending,NA
Libya,2010,USD Constant,NA
Libya,2010,USD Current,NA
Libya,2010,GDP Percent,NA
Libya,2010,Government Percent,NA
Libya,2010,Military Capita Spending,NA
Libya,2011,USD Constant,NA
Libya,2011,USD Current,NA
Libya,2011,GDP Percent,NA
Libya,2011,Government Percent,NA
Libya,2011,Military Capita Spending,NA
Libya,2012,USD Constant,2222176917
Libya,2012,USD Current,2987413408
Libya,2012,GDP Percent,3.75
Libya,2012,Government Percent,8.2
Libya,2012,Military Capita Spending,475
Libya,2013,USD Constant,2897522841
Libya,2013,USD Current,3964690154
Libya,2013,GDP Percent,7.64
Libya,2013,Government Percent,7.4
Libya,2013,Military Capita Spending,627
Libya,2014,USD Constant,2680951930
Libya,2014,USD Current,3755652496
Libya,2014,GDP Percent,15.48
Libya,2014,Government Percent,10.91
Libya,2014,Military Capita Spending,590
Libya,2015,USD Constant,NA
Libya,2015,USD Current,NA
Libya,2015,GDP Percent,NA
Libya,2015,Government Percent,NA
Libya,2015,Military Capita Spending,NA
Libya,2016,USD Constant,NA
Libya,2016,USD Current,NA
Libya,2016,GDP Percent,NA
Libya,2016,Government Percent,NA
Libya,2016,Military Capita Spending,NA
Libya,2017,USD Constant,NA
Libya,2017,USD Current,NA
Libya,2017,GDP Percent,NA
Libya,2017,Government Percent,NA
Libya,2017,Military Capita Spending,NA
Libya,2018,USD Constant,NA
Libya,2018,USD Current,NA
Libya,2018,GDP Percent,NA
Libya,2018,Government Percent,NA
Libya,2018,Military Capita Spending,NA
Libya,2019,USD Constant,NA
Libya,2019,USD Current,NA
Libya,2019,GDP Percent,NA
Libya,2019,Government Percent,NA
Libya,2019,Military Capita Spending,NA
Libya,2020,USD Constant,NA
Libya,2020,USD Current,NA
Libya,2020,GDP Percent,NA
Libya,2020,Government Percent,NA
Libya,2020,Military Capita Spending,NA
Libya,2021,USD Constant,NA
Libya,2021,USD Current,NA
Libya,2021,GDP Percent,NA
Libya,2021,Government Percent,NA
Libya,2021,Military Capita Spending,NA
Morocco,1949,USD Constant,NA
Morocco,1949,USD Current,NA
Morocco,1949,GDP Percent,NA
Morocco,1949,Government Percent,NA
Morocco,1949,Military Capita Spending,NA
Morocco,1950,USD Constant,NA
Morocco,1950,USD Current,NA
Morocco,1950,GDP Percent,NA
Morocco,1950,Government Percent,NA
Morocco,1950,Military Capita Spending,NA
Morocco,1951,USD Constant,NA
Morocco,1951,USD Current,NA
Morocco,1951,GDP Percent,NA
Morocco,1951,Government Percent,NA
Morocco,1951,Military Capita Spending,NA
Morocco,1952,USD Constant,NA
Morocco,1952,USD Current,NA
Morocco,1952,GDP Percent,NA
Morocco,1952,Government Percent,NA
Morocco,1952,Military Capita Spending,NA
Morocco,1953,USD Constant,NA
Morocco,1953,USD Current,NA
Morocco,1953,GDP Percent,NA
Morocco,1953,Government Percent,NA
Morocco,1953,Military Capita Spending,NA
Morocco,1954,USD Constant,NA
Morocco,1954,USD Current,NA
Morocco,1954,GDP Percent,NA
Morocco,1954,Government Percent,NA
Morocco,1954,Military Capita Spending,NA
Morocco,1955,USD Constant,NA
Morocco,1955,USD Current,NA
Morocco,1955,GDP Percent,NA
Morocco,1955,Government Percent,NA
Morocco,1955,Military Capita Spending,NA
Morocco,1956,USD Constant,110533086
Morocco,1956,USD Current,23714286
Morocco,1956,GDP Percent,1.18
Morocco,1956,Government Percent,NA
Morocco,1956,Military Capita Spending,NA
Morocco,1957,USD Constant,161133979
Morocco,1957,USD Current,35401980
Morocco,1957,GDP Percent,1.76
Morocco,1957,Government Percent,NA
Morocco,1957,Military Capita Spending,NA
Morocco,1958,USD Constant,214470039
Morocco,1958,USD Current,41692278
Morocco,1958,GDP Percent,2.14
Morocco,1958,Government Percent,NA
Morocco,1958,Military Capita Spending,NA
Morocco,1959,USD Constant,249998889
Morocco,1959,USD Current,41880517
Morocco,1959,GDP Percent,2.47
Morocco,1959,Government Percent,NA
Morocco,1959,Military Capita Spending,NA
Morocco,1960,USD Constant,249423297
Morocco,1960,USD Current,41596762
Morocco,1960,GDP Percent,2.32
Morocco,1960,Government Percent,NA
Morocco,1960,Military Capita Spending,NA
Morocco,1961,USD Constant,284457470
Morocco,1961,USD Current,48275957
Morocco,1961,GDP Percent,2.7
